,Unnamed: 0,origin_x,origin_y,destination_x,destination_y,treq,success,n_itineraries,duration,walkDistance,transfers,transitTime,waitingTime,modes,PT_fare,u_PT
69,69,19.88948,50.01844,19.92604983564809,50.06390840504383,2024-03-28 07:48:08,True,3.0,1594.0,403.04410526179925,1.0,1260.0,18.0,"[['TRAM', 900, 5468], ['WALK', 164, 215], ['BUS', 360, 1728], ['WALK', 152, 187]]",2.323,10.960090614027164
70,70,19.88948,50.01844,19.8944574398021,50.00234556464199,2024-03-28 08:05:00,True,3.0,946.0,636.265285705758,0.0,420.0,2.0,"[['WALK', 50, 43], ['BUS', 420, 2517], ['WALK', 474, 592]]",1.4409999999999998,6.636547499950255
71,71,19.88948,50.01844,19.886275110704297,50.022902472667816,2024-03-28 07:51:51,True,2.0,794.0,952.5506616391419,0.0,0.0,0.0,"[['WALK', 794, 952]]",1.0,6.556545526228328
72,72,19.88948,50.01844,20.009776428076712,50.08812336099171,2024-03-28 08:07:19,True,3.0,2715.0,790.7190977318057,0.0,2040.0,2.0,"[['WALK', 50, 43], ['BUS', 2040, 12920], ['WALK', 623, 747]]",3.142,14.908528070102198
73,73,19.88948,50.01844,19.983278135376565,50.06646184075096,2024-03-28 08:08:44,True,3.0,2659.0,781.1604887074299,0.0,1980.0,2.0,"[['TRAM', 1980, 10785], ['WALK', 677, 780]]",3.079,14.579769517460008
74,74,19.88948,50.01844,19.959725282322243,50.07255695080632,2024-03-28 07:48:10,True,3.0,2129.0,329.5356165382358,1.0,1800.0,62.0,"[['TRAM', 1560, 8231], ['TRAM', 240, 1122], ['WALK', 267, 329]]",2.8899999999999997,13.296291096473041
75,75,19.88948,50.01844,19.805617242245603,50.00808953483236,2024-03-28 08:08:36,True,3.0,1484.0,655.3956616472086,0.0,960.0,2.0,"[['WALK', 50, 43], ['BUS', 960, 7343], ['WALK', 472, 611]]",2.008,9.205141359608717
76,76,19.88948,50.01844,19.90664300481499,50.03013095170665,2024-03-28 07:58:41,True,3.0,597.0,478.4387443512949,0.0,180.0,2.0,"[['TRAM', 180, 1596], ['WALK', 415, 478]]",1.189,4.623892675382553
77,77,19.88948,50.01844,19.9824546451532,50.01829105643053,2024-03-28 07:57:17,True,3.0,1843.0,553.7065639024961,1.0,1380.0,2.0,"[['TRAM', 960, 4663], ['WALK', 60, 75], ['BUS', 420, 3878], ['WALK', 401, 477]]",2.449,12.272954956097895
78,78,19.88948,50.01844,19.90664300481499,50.03013095170665,2024-03-28 08:01:56,True,3.0,597.0,478.4387443512949,0.0,180.0,2.0,"[['TRAM', 180, 1596], ['WALK', 415, 478]]",1.189,4.623892675382553
79,79,19.88948,50.01844,19.92727357239912,50.05771632222573,2024-03-28 07:59:06,True,3.0,1606.0,378.6543308227977,1.0,1200.0,87.0,"[['TRAM', 900, 5468], ['WALK', 35, 43], ['BUS', 300, 990], ['WALK', 284, 335]]",2.26,11.027816929799654
80,80,19.88948,50.01844,19.9764711397617,50.00567656636803,2024-03-28 07:55:02,True,3.0,2561.0,698.6030150325596,1.0,1980.0,2.0,"[['TRAM', 960, 4663], ['WALK', 60, 75], ['BUS', 1020, 5403], ['WALK', 519, 622]]",3.079,15.848184254356598
81,81,19.88948,50.01844,19.956659023107136,50.05414863642009,2024-03-28 08:09:08,True,3.0,2090.0,783.5397518716081,0.0,1440.0,2.0,"[['TRAM', 1440, 6957], ['WALK', 648, 783]]",2.512,12.136648552584383
82,82,19.88948,50.01844,19.94209543157297,50.05572405520134,2024-03-28 08:09:26,True,3.0,1437.0,293.5643834569241,0.0,1200.0,2.0,"[['TRAM', 1200, 6619], ['WALK', 235, 293]]",2.26,8.186458903498725
83,83,19.88948,50.01844,20.06400505456663,49.972753688256766,2024-03-28 07:53:41,True,3.0,3798.0,1658.0109172797804,1.0,2340.0,122.0,"[['TRAM', 960, 4663], ['WALK', 60, 75], ['BUS', 1380, 11123], ['WALK', 1276, 1581]]",3.457,23.92273035079872
84,84,19.88948,50.01844,19.913369446744525,50.00420819012255,2024-03-28 08:12:51,True,3.0,1148.0,737.8017142764951,0.0,540.0,2.0,"[['WALK', 50, 43], ['BUS', 540, 3240], ['WALK', 556, 694]]",1.567,7.774843333279555
85,85,19.88948,50.01844,19.971092603205765,50.06354811678362,2024-03-28 07:50:20,True,3.0,2179.0,533.3100827008595,0.0,1740.0,2.0,"[['TRAM', 1740, 9627], ['WALK', 437, 533]]",2.827,12.04197548242168
86,86,19.88948,50.01844,19.914635113529016,50.04779141022027,2024-03-28 07:51:35,True,3.0,1424.0,868.0311052537324,0.0,720.0,2.0,"[['TRAM', 720, 4704], ['WALK', 702, 867]]",1.756,9.353514780646774
87,87,19.88948,50.01844,19.93821113326165,50.05198433658395,2024-03-28 08:05:47,True,3.0,1167.0,227.69127818867133,0.0,960.0,2.0,"[['TRAM', 960, 6019], ['WALK', 205, 227]]",2.008,6.710199122767249
88,88,19.88948,50.01844,19.92588842901963,50.09381953241741,2024-03-28 07:55:10,True,3.0,2884.0,488.99014284561883,0.0,2460.0,2.0,"[['TRAM', 2460, 11996], ['WALK', 422, 488]]",3.5829999999999997,15.059442499932777
89,89,19.88948,50.01844,19.92168228026507,50.02823775641421,2024-03-28 08:09:28,True,3.0,819.0,533.8386766813819,0.0,360.0,2.0,"[['TRAM', 360, 2784], ['WALK', 457, 533]]",1.3780000000000001,5.7660589473080615
